RIC,Date,Name,ISIN Code,TRBC Industry Group Name
MAERSKb.CO,2023-12-31,MOELLER MAERSK B ORD,DK0010244508,Freight & Logistics Services
VWS.CO,2023-12-31,VESTAS WIND SYSTEMS ORD,DK0061539921,Renewable Energy
NSISb.CO,2023-12-31,NOVOZYMES ORD,DK0060336014,Chemicals
JYSK.CO,2023-12-31,JYSKE BANK ORD,DK0010307958,Banking Services
NOVOb.CO,2023-12-31,NOVO-NORDISK ORD,DK0062498333,Pharmaceuticals
ORSTED.CO,2023-12-31,ORSTED ORD,DK0060094928,Electric Utilities & IPPs
DANSKE.CO,2023-12-31,DANSKE BANK ORD,DK0010274414,Banking Services
CHRH.CO^A24,2023-12-31,CHRISTIAN HANSEN HOLDING ORD,DK0060227585,Food & Tobacco
GN.CO,2023-12-31,GN STORE NORD ORD,DK0010272632,"Computers, Phones & Household Electronics"
DEMANT.CO,2023-12-31,DEMANT ORD,DK0060738599,Healthcare Equipment & Supplies
AMBUb.CO,2023-12-31,AMBU ORD,DK0060946788,Healthcare Equipment & Supplies
ISS.CO,2023-12-31,ISS A/S,DK0060542181,Professional & Commercial Services
ROCKb.CO,2023-12-31,ROCKWOOL AS ORD,DK0063855168,Construction Materials
TRYG.CO,2023-12-31,TRYGVESTA ORD,DK0060636678,Insurance
DSV.CO,2023-12-31,DSV AS ORD,DK0060079531,Freight & Logistics Services
CARLb.CO,2023-12-31,CARLSBERG ORD,DK0010181759,Beverages
PNDORA.CO,2023-12-31,PANDORA ORD,DK0060252690,Textiles & Apparel
COLOb.CO,2023-12-31,COLOPLAST ORD,DK0060448595,Healthcare Equipment & Supplies
MAERSKa.CO,2024-12-31,MOELLER MAERSK A ORD,DK0010244425,Freight & Logistics Services
GMAB.CO,2024-12-31,GENMAB ORD,DK0010272202,Biotechnology & Medical Research
NKT.CO,2024-12-31,NKT ORD,DK0010287663,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
MAERSKb.CO,2024-12-31,MOELLER MAERSK B ORD,DK0010244508,Freight & Logistics Services
VWS.CO,2024-12-31,VESTAS WIND SYSTEMS ORD,DK0061539921,Renewable Energy
NSISb.CO,2024-12-31,NOVONESIS AS ORD,DK0060336014,Chemicals
JYSK.CO,2024-12-31,JYSKE BANK ORD,DK0010307958,Banking Services
NOVOb.CO,2024-12-31,NOVO-NORDISK ORD,DK0062498333,Pharmaceuticals
ORSTED.CO,2024-12-31,ORSTED ORD,DK0060094928,Electric Utilities & IPPs
DANSKE.CO,2024-12-31,DANSKE BANK ORD,DK0010274414,Banking Services
DEMANT.CO,2024-12-31,DEMANT ORD,DK0060738599,Healthcare Equipment & Supplies
ZELA.CO,2024-12-31,ZEALAND PHARMA ORD,DK0060257814,Biotechnology & Medical Research
