,RIC,ISIN Code,TRBC Industry Group Name
349,SOLB.BR,BE0003470755,Chemicals
350,CARR.PA,FR0000120172,Food & Drug Retailing
351,CNAT.PA^G21,FR0000120685,Investment Banking & Investment Services
352,ILD.PA^J21,FR0004035913,Telecommunications Services
353,TTEF.PA,FR0000120271,Oil & Gas
354,GETP.PA,FR0010533075,Transport Infrastructure
355,RUBF.PA,FR0013269123,Oil & Gas
356,JCDX.PA,FR0000077919,Media & Publishing
357,ETL.PA,FR0010221234,Telecommunications Services
358,RENA.PA,FR0000131906,Automobiles & Auto Parts
359,PUBP.PA,FR0000130577,Media & Publishing
360,CLARI.PA,FR0010386334,Healthcare Providers & Services
361,MDM.PA,FR0013153541,Specialty Retailers
362,LOIM.PA,FR0000121964,Residential & Commercial REITs
363,ADP.PA,FR0010340141,Transport Infrastructure
364,SCOR.PA,FR0010411983,Insurance
365,CNPP.PA^F22,FR0000120222,Insurance
366,VIRB.PA,FR0000031577,Pharmaceuticals
367,TEPRF.PA,FR0000051807,Professional & Commercial Services
368,KOF.PA,FR0004007813,Homebuilding & Construction Supplies
369,VIE.PA,FR0000124141,Multiline Utilities
370,VRLA.PA,FR0013447729,Containers & Packaging
371,OREP.PA,FR0000120321,Personal & Household Products & Services
372,FDJU.PA,FR0013451333,Hotels & Entertainment Services
373,NEOEN.PA^D25,FR0011675362,Electric Utilities & IPPs
374,ALSO.PA,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
375,PERP.PA,FR0000120693,Beverages
376,OPM.PA,FR0000124570,Automobiles & Auto Parts
377,LAGA.PA,FR0000130213,Media & Publishing
378,EURA.PA,FR0000121121,Investment Banking & Investment Services
379,STMPA.PA,NL0000226223,Semiconductors & Semiconductor Equipment
380,WLN.PA,FR0011981968,Financial Technology (Fintech) & Infrastructure
381,TCFP.PA,FR0000121329,Aerospace & Defense
382,FTI.PA^B22,GB00BDSFG982,Oil & Gas Related Equipment and Services
383,VIRI.PA,FR001400PVN6,Oil & Gas Related Equipment and Services
384,AKE.PA,FR0010313833,Chemicals
385,CAPP.PA,FR0000125338,Software & IT Services
386,TRIA.PA,FR0005691656,Leisure Products
387,CVO.PA,FR0000064578,Residential & Commercial REITs
388,RXL.PA,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
389,EMEIS.PA,FR001400NLM4,Healthcare Providers & Services
390,SEVI.PA^B22,FR0010613471,Professional & Commercial Services
391,SGEF.PA,FR0000125486,Construction & Engineering
392,NEXS.PA,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
393,APAM.AS,LU0569974404,Metals & Mining
394,LTEN.PA,FR0000071946,Software & IT Services
395,VIV.PA,FR0000127771,Media & Publishing
396,IPN.PA,FR0010259150,Pharmaceuticals
397,SOIT.PA,FR0013227113,Semiconductors & Semiconductor Equipment
398,STLAM.PA,NL00150001Q9,Automobiles & Auto Parts
399,STDM.PA,FR0013154002,Healthcare Equipment & Supplies
400,BOLL.PA,FR0000039299,Media & Publishing
401,EDEN.PA,FR0010908533,Professional & Commercial Services
402,BNPP.PA,FR0000131104,Banking Services
403,HRMS.PA,FR0000052292,Textiles & Apparel
404,COFA.PA,FR0010667147,Insurance
405,DANO.PA,FR0000120644,Food & Tobacco
406,URW.PA,FR0013326246,Residential & Commercial REITs
407,VLS.PA,FR0004056851,Biotechnology & Medical Research
408,PRTP.PA,FR0000121485,Specialty Retailers
409,AYV.PA,FR0013258662,Freight & Logistics Services
410,BICP.PA,FR0000120966,Professional & Commercial Services
411,ATOS.PA,FR001400X2S4,Software & IT Services
412,ABIO.PA^J22,FR0000060402,Electric Utilities & IPPs
413,ELIOR.PA,FR0011950732,Hotels & Entertainment Services
414,ALMCP.PA,FR0011742329,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
415,FNAC.PA,FR0011476928,Specialty Retailers
416,MICP.PA,FR001400AJ45,Automobiles & Auto Parts
417,SAF.PA,FR0000073272,Aerospace & Defense
418,RCOP.PA,FR0000130395,Beverages
419,DAST.PA,FR0014003TT8,Software & IT Services
420,ACCP.PA,FR0000120404,Hotels & Entertainment Services
421,OVH.PA,FR0014005HJ9,Software & IT Services
422,MWDP.PA,FR0000121204,Investment Holding Companies
423,ORAN.PA,FR0000133308,Telecommunications Services
424,EUFI.PA,FR0014000MR3,Biotechnology & Medical Research
425,EXHO.PA,FR0000121220,Hotels & Entertainment Services
426,ENX.PA,NL0006294274,Investment Banking & Investment Services
427,BVI.PA,FR0006174348,Professional & Commercial Services
428,AIRF.PA,FR001400J770,Passenger Transportation Services
429,AIRP.PA,FR0000120073,Chemicals
430,SASY.PA,FR0000120578,Pharmaceuticals
431,TFFP.PA,FR0000054900,Media & Publishing
432,ESLX.PA,FR0000121667,Healthcare Equipment & Supplies
433,AM.PA,FR0014004L86,Aerospace & Defense
434,AMUN.PA,FR0004125920,Investment Banking & Investment Services
435,AIR.PA,NL0000235190,Aerospace & Defense
436,AXAF.PA,FR0000120628,Insurance
437,GFCP.PA,FR0010040865,Residential & Commercial REITs
438,MT.AS,LU1598757687,Metals & Mining
439,ENGIE.PA,FR0010208488,Multiline Utilities
440,DBG.PA,FR0000053381,Professional & Commercial Services
441,BOUY.PA,FR0000120503,Construction & Engineering
442,VLLP.PA,FR0013506730,Oil & Gas Related Equipment and Services
443,UBIP.PA,FR0000054470,Software & IT Services
444,EDF.PA^F23,FR0010242511,Multiline Utilities
445,SEBF.PA,FR0000121709,Household Goods
446,MERY.PA,FR0010241638,Residential & Commercial REITs
447,CASP.PA,FR001400OKR3,Food & Drug Retailing
448,SPIE.PA,FR0012757854,Construction & Engineering
449,GTT.PA,FR0011726835,Oil & Gas Related Equipment and Services
450,FOUG.PA,FR0000130452,Construction & Engineering
451,VLOF.PA,FR0013176526,Automobiles & Auto Parts
452,ICAD.PA,FR0000035081,Residential & Commercial REITs
453,SESFd.PA,LU0088087324,Telecommunications Services
454,ERMT.PA,FR0000131757,Metals & Mining
455,MMTP.PA,FR0000053225,Media & Publishing
456,LVMH.PA,FR0000121014,Textiles & Apparel
457,SCHN.PA,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
458,ISOS.PA,FR0000073298,Media & Publishing
459,CAGR.PA,FR0000045072,Banking Services
460,SOGN.PA,FR0000130809,Banking Services
461,BIOX.PA,FR0013280286,Healthcare Equipment & Supplies
462,NEXI.PA,FR0010112524,Real Estate Operations
463,LEGD.PA,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
464,SGOB.PA,FR0000125007,Homebuilding & Construction Supplies
465,ELIS.PA,FR0012435121,Professional & Commercial Services
466,FRVIA.PA,FR0000121147,Automobiles & Auto Parts
467,IMTP.PA,FR0000120859,Metals & Mining
468,SOPR.PA,FR0000050809,Software & IT Services
469,S30.PA,FR0013379484,Software & IT Services
470,SOLB.BR,BE0003470755,Chemicals
471,CARR.PA,FR0000120172,Food & Drug Retailing
472,TTEF.PA,FR0000120271,Oil & Gas
473,GETP.PA,FR0010533075,Transport Infrastructure
474,RUBF.PA,FR0013269123,Oil & Gas
475,JCDX.PA,FR0000077919,Media & Publishing
476,ETL.PA,FR0010221234,Telecommunications Services
477,RENA.PA,FR0000131906,Automobiles & Auto Parts
478,PUBP.PA,FR0000130577,Media & Publishing
479,CLARI.PA,FR0010386334,Healthcare Providers & Services
480,MDM.PA,FR0013153541,Specialty Retailers
481,LOIM.PA,FR0000121964,Residential & Commercial REITs
482,ADP.PA,FR0010340141,Transport Infrastructure
483,TE.PA,NL0014559478,Oil & Gas Related Equipment and Services
484,SCOR.PA,FR0010411983,Insurance
485,CNPP.PA^F22,FR0000120222,Insurance
486,VIRB.PA,FR0000031577,Pharmaceuticals
487,TEPRF.PA,FR0000051807,Professional & Commercial Services
488,VIE.PA,FR0000124141,Multiline Utilities
489,VRLA.PA,FR0013447729,Containers & Packaging
